Word,LLM Definition,Actual Definition,LLM Judgment (RAW),Is Correct
desinsectación,Es el proceso para eliminar insectos de un lugar o objeto.,1. f. Acción y efecto de desinsectar.,Incorrecto,True
desmitificador,"Persona que desmiente o refrega las opiniones, ideas, creencias supersticiosas e hipócritas al respecto de una persona o cosas.",1. adj. Que desmitifica.,Incorrecto,True
diligentemente,Con aplicación y dedicación constante.,1. adv. De manera diligente.Ant.:negligentemente.,ERROR,True
emparejador,Persona que se encarga del emparejamiento.,1. m. y f. Persona que empareja.,Incorrecto.,True
empurpurado,De color púrpura o purpúreo.,1. adj. Vestido de púrpura.,Incorrecto,True
epifito,"Planta que vive en otro organismo biológico, como un árbol o una roca. No puede sobrevivir por sí misma (necesita su hospedador para realizar procesos de fotosíntesis).","1. adj. Bot. Dicho de un vegetal: Que vive sobre otra planta, sin alimentarse a expensas de esta; p. ej., los musgos y líquenes.",Correcto,False
escorar,Indicar un sentido o una dirección a algo que se mueve.,1. tr. Mar. Apuntalar con escoras.,Incorrecto.,False
estadista,Persona que se dedica a dirigir y gobernar un estado.,"1. m. y f. Persona con gran saber y experiencia en los asuntos del Estado.Sin.:político, gobernante, dirigente.",Incorrecto.,True
esteatosis,La esteatosis es un tipo de cambio patológico en los tejidos hepáticos y adiposos caracterizado por el almacenamiento anormal de grasa.,1. f. Med. Acumulación patológica de grasa intracelular en un órgano.,Incorrecto,True
estuco,"Material compuesto por yeso, agua y pigmentos que se aplica sobre paredes para dar acabado superficial suave o liso.","1. m. Masa de yeso blanco y agua de cola, con la cual se hacen y preparan objetos que después se doran o pintan.Sin.:yeso, escayola.",Incorrecto,False
exequias,Son las ceremonias o fiestas funerarias en honor a un difunto.,"1. f. pl. Honras fúnebres.Sin.:funeral, honras.",Correcto,True
faisánido,"Se refiere a un pájaro propio de Asia, como el faisán, parviflómnico o perdigero.","(Zoología) Fasiánido. Tb n. Frec como n, m o f, en pl, designando este taxón zoológico.",Incorrecto,False
fétido,"La palabra fétido se refiere a lo que es maloliente o nauseabundo, ya sea un olor, una sustancia o algo que desagradablemente huele.","1. adj. hediondo (‖ que despide hedor).Sin.:hediondo, apestoso, pestilente, maloliente, nauseabundo, pestífero, hediento, hedentino.Ant.:fragante1.",Correcto,True
floración,"Es el florecimiento de las plantas en un momento determinado, especialmente en su temporada de máximo espolonamiento, o también conocida como ""temporada de la flor"".","1. f. Acción de florecer.Sin.:florecimiento, florescencia.",Incorrecto,True
fotogramétrico,"Relacionado con la fotografía o películas, especialmente con técnicas que utilizan capturas y proyecciones para representar imágenes en tres dimensiones.",Especialidad de la fotogrametría.,Incorrecto,True
funcionario,"Persona que desempeña una función especial dentro de un organismo, institución o comunidad, y cuyas atribuciones están reguladas por las leyes o normas correspondientes.",1. m. y f. Persona que desempeña profesionalmente un empleo público.,Incorrecto,True
gabato,"La definición de gabato es: Barco de vela con una sola paloma o verga en el árbol, que no tiene foque.",1. m. y f. And. Cría menor de un año de los ciervos o de las liebres.,Incorrecto.,False
garcilla,"Paloma pequeña y redondeada, con cuello corto y cabeza grande en forma de casco, caracterizada por su notable cresta de color rojizo; es común en jardines.","1. f. Ave semejante a la garza, pero de tamaño menor.",Incorrecto.,False
giroscopio,Instrumento que mide las velocidades y direcciones angulares de rotación de un cuerpo en movimiento.,"1. m. Física. Disco que, en movimiento de rotación, conserva su eje invariable aunque cambie la dirección de su soporte.Sin.:giróscopo, giróstato, estabilizador, girocompás, compás.",Incorrecto,True
helenizante,"Relacionado con Grecia, o el Helenismo (período).",1. adj. Que heleniza.,Incorrecto.,False
hipogino,"Persona que nace con el órgano genital femenino externo en la posición normal, es decir no tiene cuello uterino anormalmente corto.",(Botánica) [Periantio o androceo] que se inserta por debajo del gineceo. También dicho de la flor.,Incorrecto,False
incrustar,"Formar una imagen o patrón dibujando encima de una superficie, es decir, agregar detalles a un objeto existente.","1. tr. Embutir en una superficie lisa y dura piedras, metales, maderas, etc., formando dibujos.Sin.:embutir, engastar, engarzar, taracear, damasquinar, intercalar2.",Incorrecto,False
intercadencia,"La intercadencia es el rechazo a pronunciar ciertas letras o sonidos, que solían ser pronunciados en determinadas palabras.",1. f. Desigualdad o inconstancia en la conducta o en los afectos.,Incorrecto,False
jaín,"Piedra volcánica compacta, con texturas variadas y tono oscuro.",(Relgión or creencia) Jainista. Tambíen nombre.,Incorrecto.,False
lipotimia,"La lipotimia es un síncope causado por una bajada transitoria brusca del nivel glucémico en sangre debido a insuficiente ingesta calórica a lo largo de varias horas, lo que reduce el contenido corporal de glucógeno visceral.","1. f. Med. Pérdida súbita y pasajera del sentido y del movimiento.Sin.:desmayo, desfallecimiento, desvanecimiento, síncope, vahído.",Incorrecto,True
magnolia,"Es el nombre común de varias especies de árboles y arbustos pertenecientes a la familia Magnoliaceae. Son conocidos por su belleza y aroma, destacando entre las flores más hermosas del mundo.","1. f. Árbol de la familia de las magnoliáceas, de 15 a 30 m de altura, tronco liso y copa siempre verde, hojas grandes, lanceoladas, enteras, persistentes, coriáceas, verdes por el haz y algo rojizas por el envés, flores hermosas, terminales, solitarias, muy blancas, de olor intenso y agradable y de forma globosa, y fruto seco, elipsoidal, que se abre irregularmente para soltar las semillas. Es planta originaria de América y Asia, y perfectamente aclimatada en Europa.Sin.:magnolio.",Incorrecto,True
manes,"Es una forma femenina del plural del participio pasado del verbo ""ser"", equivalente a la indicativa imperfecto-compuesto del verbo ""ser"" con pronombre personal átono.","1. m. pl. Dioses infernales o almas de los difuntos, considerados benévolos, a los que rendían culto los antiguos romanos.",Incorrecto,False
meano,"Lo siento, pero no tengo una definición oficial para ""meano"". ¿Podrías proporcionarme más contexto sobre el origen o significado que tú asocias a esta palabra?",1. adj. Taurom. Dicho de un toro: Que tiene blanco el pelaje de la zona genital.,Incorrecto.,True
mediar,Actuar como intermediario entre dos partes en conflicto para tratar de resolver o calmarse el enfrentamiento.,1. intr. Dicho de una cosa: Llegar aproximadamente a su mitad. Mediaba el mes de julio.,Incorrecto,False
mensualizar,Convertir en algo que se paga por mes.,"Hacer mensual [algo, esp. un pago].",Incorrecto,True
mesmerización,"La fascinación o hipnosis que produce una persona a otra, causando admiración e interés en ella.",(literario) Hipnotización.,Incorrecto,True
mestizo,"Persona o comunidad resultado de mestizaje, que es la mezcla entre las razas blanca o europea y otra racial diferente (negra, india, chino, árabe).","1. adj. Dicho de una persona: Nacida de padre y madre de raza diferente, en especial de hombre blanco y mujer indígena, o de hombre indígena y mujer blanca. U. t. c. s.Sin.:amestizado, mulato, cholo, ladino, ñapango.",Incorrecto,False
minuto,"El tiempo que tarda el reloj en marcar una cuenta mayor que otra, equivalente a un sexagesimal 1/60 de hora o a sesenta décimas de hora.",1. adj. desus. menudo (‖ en monedas pequeñas).,Incorrecto.,True
mochalero,Persona que vende o bebe en un bar o taberna.,"De Mochales (Guadalajara). Tambien nombre, referido a persona/personal.",Incorrecto,True
modisto,"Persona que se dedica a hacer confecciones: modista. Especialista en el arte de la confección en general, pero sobre todo del confeccionado: mujer; modistito","1. m. Hombre que se dedica a hacer prendas de vestir o a crear modas o modelos de ropa, principalmente para mujer.Sin.:modista, diseñador, sastre, costurero.",Incorrecto,True
monásticamente,De manera relacionada con los monasterios o el monacato.,De manera monástica.,Incorrecto,True
morra,Juego de habilidad.,1. f. Parte superior de la cabeza.,Incorrecto,False
nefólogo,Especialista en el estudio o descripción del nífego.,(raro) Especialista en nefología.,Incorrecto.,False
novatada,"La novatada es un tipo de burla o regateo en el que se hace algo ridículo o estúpido ante una persona para divertir a otra, especialmente niños, con las malas acciones que cometen sin ningún peligro.","1. f. En algunas colectividades, vejamen y molestias que los antiguos hacen a los recién llegados.Sin.:broma1, inocentada, quintada.",Incorrecto.,True
ovni,Objeto Volador No Identificado (OVNI). Un fenómeno astronómico o aeronáutico no comprendido.,"1. m. Objeto volador no identificado, al que en ocasiones se considera como una nave espacial de procedencia extraterrestre. U. t. c. adj.",Incorrecto,True
pagar,"Pagar significa entregar dinero o sustituto legal equivalente en calidad, suma y a tiempo, como pago de una obligación legal o mercantil o cumplir otra prestación similar.","1. tr. Dicho de una persona: Dar a otra, o satisfacer, lo que le debe.Sin.:abonar1, retribuir, desembolsar, remunerar, cotizar, costear1, sufragar, cancelar, liquidar, apoquinar, garpar, azotar.Ant.:cobrar.",Incorrecto,True
paleteo,"Es un vocablo no común y su función es referir a una actividad humana poco frecuente.

Refiere a la práctica de comer solo frutas frescas, absteniéndose de otros alimentos como los carnes o la sal.",1. m. Acción de paletear.,Incorrecto.,True
palmítico,"Relativo a un estado o período geológico de transición en el tiempo paleozoico, ubicado justo después del proterozoico.","(Química) [Ácido] graso presente en muchas grasas animales y vegetales, esp. en el aceite de palma.",Incorrecto,False
paralogismo,"Es un razonamiento falso o engañoso, aunque tenga una apariencia lógica o filosófica.",1. m. Razonamiento falso.,Correcto,True
pasarratos,Palabras o frases inútiles agregadas al final de una frase para demostrar cultura u originalidad.,Pasatiempo. Cosa que sirve de diversión o entretenimiento.,Incorrecto,False
perrillo,Se refiere a un perro pequeño.,1. m. Gatillo de las armas de fuego.,Incorrecto.,False
pezuña,"Pezuña es un hueso duro del pie o de una patada, sobre el que va apoyado todo el peso cuando está en tierra.","1. f. Conjunto de los pesuños de una misma pata en los animales ungulados.Sin.:casco, pesuña.",Incorrecto.,False
pinabete,Paloma comestible criada en jaula.,"1. m. abeto (‖ árbol).Sin.:abeto, sapino.",Incorrecto.,False
pitahaya,"Fruto tropical del árbol Hylocereus spp., similar a una pitaja, con pulpa roja y granizo blanco.","1. f. Ant., Col., C. Rica, Ec., El Salv., Guat., Hond., Méx., Nic., Perú y Ven. Planta de la familia de las cactáceas, trepadora y de flores encarnadas o blancas según sus variedades. Algunas dan fruto comestible.Sin.:pitajaya, pitaya, pitayo.",Incorrecto,False
postrar,"Caer o echarse enfermo (por miedo, dolor, etc.).","1. tr. Rendir, humillar o derribar algo.Sin.:rendir, vencer, derribar, abatir, humillar.",Incorrecto.,False
prédica,"Relativa o perteneciente a las predicaciones religiosas o a una idea, creencia o doctrina que se predica.","1. f. Sermón o plática.Sin.:predicación, sermón, homilía, plática.",Incorrecto,True
prolongador,"Objeto mecánico o utensilio destinado a prolongar un objeto u otra cosa, en especial el extremo de una herramienta o instrumento (palanca general) para aprovechar mejor su accionamiento.",1. adj. Que prolonga. U. t. c. s.Sin.:alargadera.,Incorrecto.,True
provinciano,La persona o cosa que pertenece a una provincia y carece de la cultura o los refinamientos propios de las ciudades grandes.,"1. adj. Natural o habitante de una provincia, en contraposición al de la capital. U. t. c. s.Sin.:chagra.",Incorrecto,False
puzzle,"Un rompecabezas o puzzle es un dispositivo de entretenimiento consistente en una serie de piezas juntas en forma de rompecabezas que el usuario debe resolver para alcanzar una finalidad determinada, que puede ser visual, funcional, verbal o intelectual.",Puzle. Rompecabezas.,Incorrecto,False
quepis,"La definición de ""quepis"" es: Sombrero de ala ancha, con visera y rebozo, usado especialmente por oficiales en ciertos cuerpos militares o policiales.","1. m. Gorra cilíndrica o ligeramente cónica, con visera horizontal, que como prenda de uniforme usan los militares en algunos países.Sin.:quepí, ros, teresiana, chacó.",Incorrecto.,False
raor,"Lo siento, no tengo información sobre la palabra ""raor"".","Pez marino de pequeño tamaño, piel roja y ojos saltones, de carne muy apreciada (Xyrichthys novacula o Amorphocephalus granulatus).",Incorrecto,False
reciclado,Objeto que ha sido reutilizado en su forma original después de haberse utilizado anteriormente para el mismo propósito o similar.,"1. m. Acción y efecto de reciclar.Sin.:reciclaje, reciclamiento.",Incorrecto,False
rememorar,"Recordar ocasionalmente o episodica pero con insistencia algo ya olvidado, que permanece en estado latente aunque no haya vuelto al recuerdo.","1. tr. recordar (‖ pasar a tener en la mente algo del pasado).Sin.:recordar, acordarse, evocar, revivir, reconstruir, remembrar.Ant.:olvidar.",Correcto.,True
ridiculización,Ridiculización es el acto de reducir a ridículo a alguien mediante acciones que están fuera de las normas sociales.,1. f. Acción y efecto de ridiculizar.,Incorrecto.,True
sagum,La capa militar romana que cubría el hombro izquierdo.,"(históico) Capote corto usado por los romanos, esp. en la guerra.",Incorrecto.,False
salbanda,"Parte del cabello que, al romperse, permanece unido a otro pelo formando una especie de ""mangas"".","1. f. Ingen. En minería, capa, ordinariamente arcillosa, que separa el filón de la roca estéril.",Incorrecto.,True
socialmente,"Relativo o que corresponde a las relaciones entre personas, familias u organizaciones en un contexto comunitario o cultural determinado.",En el aspecto social. De manera social.,Correcto,True
speed,Velocidad: Tasa en que alguien o algo se desplaza desde un lugar a otro.,1: (jergal) Anfetamina. 2: (jergal) Estado de euforia causado por el consumo de drogas.,Incorrecto,True
standarizar,"Regular todos los elementos, procesos o sistemas de manera que se ajusten a normas fijadas previamente para asegurar su coherencia, igualdad y eficiencia en toda su extensión.",Estandarizar. Ajustar [algo o a alguien] a un estándar].,Correcto,True
sublimado,"El término ""sublimado"" se refiere a un cambio de estado en el que una sustancia pasa directamente del sólido al gas, sin llegar a estar en su forma líquida.",1. m. Quím. Sustancia obtenida por sublimación.,Incorrecto,True
superbomba,"Arma nuclear que puede liberar una cantidad tan grande de energía o material en una sola detonación que el impacto destructivo alcanza dimensiones de ""superbomba"".","(Milicia) Bomba de hidrógeno o de tritio, de potencia superior a la bomba atómica de uranio.",Incorrecto,True
talgo,"No existe registro o referencia en ninguna base de datos lingüística del término ""taldo"" o ""talga"".","1. m. Tipo de tren articulado de muy poco peso, fabricado en diversos modelos.",Incorrecto,False
tornajo,"Instrumento que sirve para torcer o enroscar el hilo, cinta u otro material alrededor de un fuste.","(regional) Dornajo (recipiente de madera, hecho gralm. de un tronco ahuecado, que sirve para dar de comer o beber a los animales o para otros usos).",Incorrecto,False
treinta,"Es un número que se refiere a una cantidad específica, 30.",1. adj. Tres veces diez. U. t. c. pron. —¿Cuántos alumnos tiene? —Treinta.,Incorrecto.,True
tundidor,"Instrumento musical con cuerdas para la familia de las percusiones en el que se colocan las uñas del dedo a modo de palillos y se frotan, siendo de ellos uno más grueso. (También caja reloj)",1. adj. Dicho de una máquina: Que sirve para tundir1. U. t. c. s.,Incorrecto.,False
vega,"La Vega, en astronomía, es una constelación del hemisferio austral, situada entre Casiopea y Lira, y al lado de Andrómeda.","1. f. Terreno bajo, llano y fértil, regado generalmente por un río o un canal.Sin.:ribera1, cañada, riba.",Incorrecto,False
verraquear,"La palabra ""verraquear"" se refiere a hacer berracañas, burlarse o reírse con ironía de alguien o algo.",1. intr. coloq. Gruñir o dar señales de enfado y enojo.,Incorrecto.,False
